director_name,actor_1_name,actor_2_name,movie_title,budget,imdb_score
Stephen Chow,Jiao Xu,Yuqi Zhang,CJ7,,6.5
Louis Leterrier,Liam Neeson,Jason Flemyng,Clash of the Titans ,125000000,5.8
Louis Leterrier,Liam Neeson,Jason Flemyng,Clash of the Titans ,125000000,5.8
Mark L. Lester,Roddy McDowall,Perry King,Class of 1984,4300000,6.6
David Dobkin,Janeane Garofalo,Vince Vieluf,Clay Pigeons ,8000000,6.6
Olivier Assayas,Maggie Cheung,Béatrice Dalle,Clean ,4500,6.9
Phillip Noyce,Harrison Ford,Dean Jones,Clear and Present Danger ,62000000,6.9
Joseph L. Mankiewicz,Martin Landau,Richard Burton,Cleopatra ,31115000,7
Kevin Smith,Jason Mewes,Brian O'Halloran,Clerks ,230000,7.8
Kevin Smith,Ethan Suplee,Jason Mewes,Clerks II ,5000000,7.4
Frank Coraci,Adam Sandler,Cameron Monaghan,Click ,70000000,6.4
Renny Harlin,Sylvester Stallone,Leon,Cliffhanger ,70000000,6.4
Jonathan Frakes,Michael Biehn,Paula Garcés,Clockstoppers ,26000000,5.2
Jill Sprecher,Alanna Ubach,Bob Balaban,Clockwatchers ,,6.4
Steven Spielberg,Bob Balaban,Teri Garr,Close Encounters of the Third Kind ,19400870,7.7
Isaac Florentine,Anthony L. Fernandez,Nick Chinlund,Close Range ,3000000,4.9
Mike Nichols,Natalie Portman,Julia Roberts,Closer ,27000000,7.3
Nae Caranfil,Monica Barladeanu,Joe Armstrong,Closer to the Moon ,5000000,7.1
Dan Reed,Danny Dyer,Adam Rayner,Closure ,1800000,5.6
Tom Tykwer,Tom Hanks,Jim Sturgess,Cloud Atlas ,102000000,7.5
Phil Lord,Will Forte,Bobb'e J. Thompson,Cloudy with a Chance of Meatballs ,100000000,7
Cody Cameron,Will Forte,Khamani Griffin,Cloudy with a Chance of Meatballs 2,78000000,6.5
Matt Reeves,Mike Vogel,Ben Feldman,Cloverfield ,25000000,7
Jay Chandrasekhar,Brittany Daniel,Lindsay Price,Club Dread ,8550000,5.6
Amy Heckerling,Donald Faison,Dan Hedaya,Clueless ,12000000,6.8
Thomas Carter,Channing Tatum,Rick Gonzalez,Coach Carter ,30000000,7.2
Michael Apted,Sissy Spacek,Beverly D'Angelo,Coal Miner's Daughter ,,7.5
Anne Fontaine,Alessandro Nivola,Benoît Poelvoorde,Coco Before Chanel ,19430000,6.7
Michael Winterbottom,Samantha Morton,Om Puri,Code 46,7500000,6.3
Les Mayfield,Callum Rennie,Will Patton,Code Name: The Cleaner ,20000000,4.5
Michael Winnick,Scott Takeda,Helena Mattsson,Code of Honor ,8000000,4.2
Brad Copeland,Sunil Narkar,Ben Schwartz,Coffee Town ,2000000,6.6
Anthony Minghella,Philip Seymour Hoffman,Natalie Portman,Cold Mountain ,79000000,7.2
Michael Mann,Tom Cruise,Jada Pinkett Smith,Collateral ,65000000,7.6
Andrew Davis,Raymond Cruz,Rick Worthy,Collateral Damage ,85000000,5.5
Deb Hagan,Drake Bell,Alona Tal,College ,6500000,4.6
Olivier Megaton,Jordi Mollà,Callum Blue,Colombiana ,40000000,6.4
Joey Lauren Adams,Tim Blake Nelson,Diane Ladd,Come Early Morning ,6000000,6.2
Yimou Zhang,Li Gong,Daoming Chen,Coming Home ,,7.3
Mark L. Lester,Bill Duke,Vernon Wells,Commando ,10000000,6.7
Enrique Begne,Kevin Pollak,Héctor Jiménez,Compadres ,3000000,5
Craig Zobel,Dreama Walker,Matt Servitto,Compliance ,270000,6.4
Simon West,Steve Buscemi,Monica Potter,Con Air ,75000000,6.8
John Milius,William Smith,Mako,Conan the Barbarian ,20000000,6.9
John Milius,William Smith,Mako,Conan the Barbarian ,20000000,6.9
Richard Fleischer,Mako,Olivia d'Abo,Conan the Destroyer ,18000000,5.8
Peter Landesman,Will Smith,Eddie Marsan,Concussion ,35000000,7.1
George Clooney,Dick Clark,David Julian Hirsh,Confessions of a Dangerous Mind ,29000000,7.1
Sara Sugarman,Adam Garcia,Carol Kane,Confessions of a Teenage Drama Queen ,15000000,4.6
James Foley,Louis Lombardi,Brian Van Holt,Confidence ,15000000,6.7
Frank Marshall,Dylan Walsh,Joe Don Baker,Congo ,50000000,5
Michael Lembeck,Debbie Reynolds,Nia Vardalos,Connie and Carla ,20000000,6.3
J. Lee Thompson,Roddy McDowall,Gordon Jump,Conquest of the Planet of the Apes ,1700000,6.1
Richard Donner,Julia Roberts,Alex McArthur,Conspiracy Theory ,75000000,6.7
,Harold Perrineau,Matt Ryan,Constantine             ,,7.5
Robert Zemeckis,Matthew McConaughey,Tom Skerritt,Contact ,90000000,7.4
Steven Soderbergh,Matt Damon,Monique Gabriela Curnen,Contagion ,60000000,6.6
Neil Mcenery-West,Walter Hendrix III,Michael Chapman,Containment ,,4.8
Baltasar Kormákur,J.K. Simmons,David O'Hara,Contraband ,25000000,6.5
Anton Corbijn,Sam Riley,Samantha Morton,Control ,4500000,7.7
Hans Canosa,Olivia Wilde,Thomas Lennon,Conversations with Other Women ,450000,7.1
Jon Turteltaub,Doug E. Doug,Leon,Cool Runnings ,15000000,6.9
James Mangold,Robert De Niro,Sylvester Stallone,Cop Land ,10000000,6.9
Kevin Smith,Bruce Willis,Tracy Morgan,Cop Out ,37000000,5.6
Jon Amiel,William McNamara,Holly Hunter,Copycat ,20000000,6.6
Agnieszka Holland,Phyllida Law,David Kennedy,Copying Beethoven ,11000000,6.8
Henry Selick,Jennifer Saunders,Dawn French,Coraline ,60000000,7.7
Ralph Fiennes,Gerard Butler,Ashraf Barhom,Coriolanus ,,6.2
Rob Pritts,Vincent Pastore,Vinessa Shaw,Corky Romano ,11000000,4.6
Tim Burton,Johnny Depp,Christopher Lee,Corpse Bride ,40000000,7.4
Ossie Davis,Redd Foxx,Cleavon Little,Cotton Comes to Harlem ,1200000,6.6
Jem Cohen,,,Counting ,50000,6
Shana Feste,Leighton Meester,Cinda McCain,Country Strong ,15000000,6.3
Peter Billingsley,Jon Favreau,Kristin Davis,Couples Retreat ,60000000,5.5
Angelo Pizzo,Donny Boaz,Finn Wittrock,Courage ,20000000,7
Edward Zwick,Denzel Washington,Matt Damon,Courage Under Fire ,46000000,6.6
Alex Kendrick,Ben Davies,Alex Kendrick,Courageous ,2000000,7
David McNally,Adam Garcia,Tyra Banks,Coyote Ugly ,45000000,5.6
Andrzej Bartkowiak,Jet Li,Tom Arnold,Cradle 2 the Grave,30000000,5.8
Tim Robbins,Bill Murray,Vanessa Redgrave,Cradle Will Rock ,32000000,6.9
Mark Neveldine,Jason Statham,Edi Gathegi,Crank ,12000000,7
Mark Neveldine,Jason Statham,Clifton Collins Jr.,Crank: High Voltage ,20000000,6.2
Paul Haggis,Don Cheadle,Loretta Devine,Crash ,6500000,7.9
Paul Haggis,Don Cheadle,Loretta Devine,Crash ,6500000,7.9
Scott Cooper,Jeff Bridges,Beth Grant,Crazy Heart ,7000000,7.3
Antonio Banderas,Meat Loaf,Elizabeth Perkins,Crazy in Alabama ,15000000,6.3
Hao Ning,Bo Huang,Zheng Xu,Crazy Stone ,3000000,7.7
Glenn Ficarra,Ryan Gosling,Emma Stone,"Crazy, Stupid, Love. ",50000000,7.4
John Stockwell,Kirsten Dunst,Jay Hernandez,Crazy/Beautiful ,14000000,6.5
Benjamin Dickinson,Nora Zehetner,Alexia Rasmussen,Creative Control ,1000000,5.5
,Craig T. Nelson,Colm Feore,Creature             ,,5
Ryan Coogler,Sylvester Stallone,Phylicia Rashad,Creed ,35000000,7.7
George A. Romero,Ted Danson,Hal Holbrook,Creepshow ,8000000,6.9
George A. Romero,Ted Danson,Hal Holbrook,Creepshow ,8000000,6.9
Michael Gornick,George Kennedy,Holt McCallany,Creepshow 2,3500000,6
Ingmar Bergman,Liv Ullmann,Ingrid Thulin,Cries & Whispers ,400000,8.2
Ariel Vromen,Gary Oldman,Jordi Mollà,Criminal ,31500000,6.3
Jackie Earle Haley,Rex Baker,Edi Gathegi,Criminal Activities ,7000000,5.8
Tony Scott,Denzel Washington,Viggo Mortensen,Crimson Tide ,53000000,7.3
Sidney Lumet,Kyra Sedgwick,Anne Bancroft,Critical Care ,12000000,6
Peter Faiman,Paul Hogan,Linda Kozlowski,Crocodile Dundee ,8800000,6.5
John Cornell,Paul Hogan,Linda Kozlowski,Crocodile Dundee II ,15800000,5.5
Simon Wincer,Jere Burns,Paul Hogan,Crocodile Dundee in Los Angeles ,21150000,4.8
Spike Lee,Alfre Woodard,Delroy Lindo,Crooklyn ,14000000,6.9
William Gazecki,Karen Alexander,Colin Andrews,Crop Circles: Quest for Truth ,750000,7
Preston A. Whitmore II,Wesley Jonathan,Wayne Brady,Crossover ,5600000,2.1
Tamra Davis,Britney Spears,Katherine Boecher,Crossroads ,12000000,3.3
Tamra Davis,Britney Spears,Katherine Boecher,Crossroads ,12000000,3.3
Ang Lee,Chen Chang,Pei-Pei Cheng,"Crouching Tiger, Hidden Dragon ",15000000,7.9
Brenton Spencer,Christie Burke,Victor Zinck Jr.,Crowsnest ,1200000,3.8
Roger Kumble,Sarah Michelle Gellar,Sean Patrick Thomas,Cruel Intentions ,10500000,6.9
Richard Attenborough,Denzel Washington,Kevin McNally,Cry Freedom ,29000000,7.5
Jeff Wadlow,Julian Morris,Gary Cole,Cry_Wolf ,1000000,5.9
Justin Molotnikov,Jo Hartley,Stephen McCole,Crying with Laughter ,,6.9
Vincenzo Natali,David Hewlett,Julian Richings,Cube ,365000,7.3
Matthew O'Callaghan,Will Ferrell,Frank Welker,Curious George ,50000000,6.6
Yimou Zhang,Li Gong,Ye Liu,Curse of the Golden Flower ,45000000,7
Wes Craven,Shannon Elizabeth,Portia de Rossi,Cursed ,35000000,5
Renny Harlin,Christopher Masterson,Frank Langella,Cutthroat Island ,98000000,5.6
Vincenzo Natali,David Hewlett,Jeremy Northam,Cypher ,7500000,6.8
Jay Duplass,Matt Walsh,Tim Guinee,Cyrus ,7000000,6.3
Angela Robinson,Jordana Brewster,Geoff Stults,D.E.B.S. ,3500000,5.3
Spike Lee,Rami Malek,Elvis Nolasco,Da Sweet Blood of Jesus ,1420000,4.1
Fred Savage,Lochlyn Munro,Brian Doyle-Murray,Daddy Day Camp ,6000000,2.9
Steve Carr,Anjelica Huston,Lisa Edelstein,Daddy Day Care ,60000000,5.5
Sean Anders,Will Ferrell,Linda Cardellini,Daddy's Home ,50000000,6.1
Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Dallas Buyers Club ,5000000,8
Jack Smight,George Peppard,Jan-Michael Vincent,Damnation Alley ,17000000,5.2
Whit Stillman,Greta Gerwig,Megalyn Echikunwoke,Damsels in Distress ,,5.7
Damien Dante Wayans,Damon Wayans Jr.,Essence Atkins,Dance Flick ,25000000,3.5
Lars von Trier,Catherine Deneuve,Udo Kier,Dancer in the Dark ,12800000,8
Tim McCanlies,Ethan Embry,Michael O'Neill,"Dancer, Texas Pop. 81",,6.8
Kevin Costner,Mary McDonnell,Michael Spears,Dances with Wolves ,22000000,8
David Winters,Gary Daniels,Matt Marr,Dancin' It's On ,12000000,2.8
Stephen Frears,Keanu Reeves,Peter Capaldi,Dangerous Liaisons ,14000000,7.7
Stephen Frears,Keanu Reeves,Peter Capaldi,Dangerous Liaisons ,14000000,7.7
Dan Fogelman,Al Pacino,Jennifer Garner,Danny Collins ,10000000,7.1
Roger Donaldson,Jamie Renée Smith,Grant Heslov,Dante's Peak ,116000000,5.8
,Elden Henson,Royce Johnson,Daredevil             ,,8.8
,Jensen Ackles,Ashley Scott,Dark Angel             ,,7.4
Ron Shelton,Khandi Alexander,Dash Mihok,Dark Blue ,15000000,6.6
Alex Proyas,Rufus Sewell,William Hurt,Dark City ,27000000,7.7
Tim Burton,Johnny Depp,Chloë Grace Moretz,Dark Shadows ,100000000,6.2
Walter Salles,Dougray Scott,Camryn Manheim,Dark Water ,30000000,5.6
Jaume Balagueró,Lena Olin,Giancarlo Giannini,Darkness ,10600000,5.4
Jonathan Liebesman,Sullivan Stapleton,Emma Caulfield,Darkness Falls ,11000000,4.9
Lawrence Kasdan,Dianne Wiest,Mark Duplass,Darling Companion ,,5.1
Blake Edwards,Rock Hudson,Vernon Dobtcheff,Darling Lili ,25000000,6.2
Wolfgang Petersen,Jürgen Prochnow,Martin Semmelrogge,Das Boot ,14000000,8.4
Aaron Seltzer,Alyson Hannigan,Carmen Electra,Date Movie ,20000000,2.7
Shawn Levy,Mila Kunis,James Franco,Date Night ,55000000,6.3
Michel Gondry,Common,Dave Chappelle,Dave Chappelle's Block Party ,3000000,7.2
Kirk Loudon,Barry Corbin,Johnny Walter,Dawn of the Crescent Moon ,75000,5
Zack Snyder,Ty Burrell,Kevin Zegers,Dawn of the Dead ,26000000,7.4
Zack Snyder,Ty Burrell,Kevin Zegers,Dawn of the Dead ,26000000,7.4
Matt Reeves,Gary Oldman,Judy Greer,Dawn of the Planet of the Apes ,170000000,7.6
Daniel Petrie Jr.,Chris Brochu,Jeff Fahey,Dawn Patrol ,3500000,4.8
George A. Romero,Greg Nicotero,John Amplas,Day of the Dead ,3500000,7.2
George A. Romero,Greg Nicotero,John Amplas,Day of the Dead ,3500000,7.2
Nathan Frankowski,Corbin Bleu,Rus Blackwell,Day One ,3400000,6.6
Michael Spierig,Jay Laga'aia,Damien Garvey,Daybreakers ,20000000,6.5
Rob Cohen,Sylvester Stallone,Viggo Mortensen,Daylight ,80000000,5.8
Terrence Malick,Sam Shepard,Stuart Margolin,Days of Heaven ,3000000,8
Tony Scott,Tom Cruise,Robert Duvall,Days of Thunder ,60000000,5.9
Richard Linklater,Milla Jovovich,Adam Goldberg,Dazed and Confused ,6900000,7.7
Irwin Winkler,Kevin McNally,Keith Allen,De-Lovely ,20000000,6.6
Stephen Herek,Henry Ian Cusick,Callum Blue,Dead Like Me: Life After Death ,5000000,6.1
Niels Arden Oplev,Dominic Cooper,Isabelle Huppert,Dead Man Down ,30000000,6.5
Alan Cohn,Alyson Hannigan,Linda Cardellini,Dead Man on Campus ,14000000,6
Tim Robbins,Lois Smith,Celia Weston,Dead Man Walking ,11000000,7.6
Shane Meadows,Paddy Considine,Gary Stretch,Dead Man's Shoes ,695393,7.7
Peter Weir,Robin Williams,Josh Charles,Dead Poets Society ,16400000,8
Tommy Wirkola,Bjørn Sundquist,Stig Frode Henriksen,Dead Snow ,800000,6.4
Stefan Ruzowitzky,Charlie Hunnam,Olivia Wilde,Deadfall ,12000000,6.3
Richard Brooks,Humphrey Bogart,Jim Backus,Deadline - U.S.A. ,,7.2
,Rachel Griffiths,Jessica De Gouw,Deadline Gallipoli             ,15000000,7.4
Tim Miller,Ryan Reynolds,Ed Skrein,Deadpool ,58000000,8.1
Shona Auerbach,Gerard Butler,Sharon Small,Dear Frankie ,,7.8
Lasse Hallström,Channing Tatum,Henry Thomas,Dear John ,25000000,6.3
Thomas Vinterberg,Michael Angarano,Chris Owen,Dear Wendy ,50000000,6.6
Frank Oz,Peter Dinklage,Ewen Bremner,Death at a Funeral ,9000000,7.4
Frank Oz,Peter Dinklage,Ewen Bremner,Death at a Funeral ,9000000,7.4
Robert Zemeckis,Bruce Willis,Meryl Streep,Death Becomes Her ,55000000,6.4
Ken Del Conte,Hector Echavarria,Robert Miano,Death Calls ,290000,4.3
Paul W.S. Anderson,Jason Statham,Max Ryan,Death Race ,45000000,6.4
Paul Bartel,Sylvester Stallone,David Carradine,Death Race 2000,300000,6.2
James Wan,Aisha Tyler,Kelly Preston,Death Sentence ,20000000,6.8
Danny DeVito,Robin Williams,Vincent Schiavelli,Death to Smoochy ,55000000,6.4
Molly Bernstein,David Mamet,Ricky Jay,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,500000,7.1
John Whitesell,Matthew Broderick,Jorge Garcia,Deck the Halls ,,4.9
Woody Allen,Woody Allen,Lynn Cohen,Deconstructing Harry ,20000000,7.4
Matthew Hastings,Meghan Ory,Marc Trottier,Decoys ,5000000,4.6
Renny Harlin,LL Cool J,Michael Rapaport,Deep Blue Sea ,60000000,5.8
Mimi Leder,Morgan Freeman,Jon Favreau,Deep Impact ,75000000,6.1
Stephen Sommers,Djimon Hounsou,Jason Flemyng,Deep Rising ,45000000,6
Paul Donovan,Maury Chaykin,Lenore Zann,Def-Con 4,1750000,4.3
Peter Stebbings,Michael Kelly,Tony Nappo,Defendor ,3500000,6.8
,Julie Benz,Tony Curran,Defiance             ,,7
Adam Brooks,Ryan Reynolds,Sakina Jaffrey,"Definitely, Maybe ",,7.2
Henry Jaglom,Vanessa Redgrave,Stephen Dillane,Déjà Vu ,,7
,Krystyna Janda,Olaf Lubaszenko,Dekalog             ,,9.1
,Krystyna Janda,Olaf Lubaszenko,Dekalog             ,,9.1
Niels Arden Oplev,Michael Nyqvist,David Dencik,Del 1 - Män som hatar kvinnor,,8.1
Marc F. Adler,Eric Idle,Anne Bancroft,Delgo ,40000000,4.4
Scott Derrickson,Olivia Munn,Dorian Missick,Deliver Us from Evil ,30000000,6.2
Ken Scott,Jack Reynor,Bobby Moynihan,Delivery Man ,26000000,6.4
Will Canon,Frank Grillo,Scott Mechlowicz,Demonic ,3000000,5.3
Andrew Steggall,Juliet Stevenson,Alex Lawther,Departure ,1100000,7
Mikael Håfström,Denis O'Hare,RZA,Derailed ,22000000,6.6
Morgan J. Freeman,Ethan Suplee,John Heard,Desert Blue ,2000000,6.2
Richard Raymond,Tom Cullen,Reece Ritchie,Desert Dancer ,4000000,6
Robert Rodriguez,Quentin Tarantino,Steve Buscemi,Desperado ,7000000,7.2
Pierre Coffin,Steve Carell,Miranda Cosgrove,Despicable Me ,69000000,7.7
Pierre Coffin,Steve Carell,Miranda Cosgrove,Despicable Me 2,76000000,7.5
Joseph Kosinski,Peter Dinklage,Lauren Cohan,Destiny ,,8.1
Joseph Kahn,Josh Hutcherson,Shanley Caswell,Detention ,10000000,5.8
Alex Craig Mann,Justin Chon,Christa B. Allen,Detention of the Dead ,500000,4.6
Rod Lurie,Kevin Pollak,Kathryn Morris,Deterrence ,800000,6.5
Adam Rifkin,Natasha Lyonne,Lin Shaye,Detroit Rock City ,15000000,6.8
Mike Bigelow,Carlos Ponce,Eddie Griffin,Deuce Bigalow: European Gigolo ,22000000,4.6
Mike Mitchell,Amy Poehler,Eddie Griffin,Deuce Bigalow: Male Gigolo ,17000000,5.7
Scott Kalvert,Norman Reedus,James Franco,Deuces Wild ,10000000,5.6
John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Devil ,10000000,6.3
Matt Bettinelli-Olpin,Zach Gilford,Allison Miller,Devil's Due ,7000000,4
Alec Asten,Luis Sanchez,Dennis L.A. White,Diamond Ruff ,500000,4.3
Guy Hamilton,Desmond Llewelyn,Lois Maxwell,Diamonds Are Forever ,7200000,6.7
Darren Grant,Cicely Tyson,Kimberly Elise,Diary of a Mad Black Woman ,5500000,5.6
Thor Freudenthal,Chloë Grace Moretz,Zachary Gordon,Diary of a Wimpy Kid ,15000000,6.2
David Bowers,Zachary Gordon,Rachael Harris,Diary of a Wimpy Kid: Dog Days ,22000000,6.4
David Bowers,Zachary Gordon,Rachael Harris,Diary of a Wimpy Kid: Rodrick Rules ,21000000,6.6
George A. Romero,Megan Park,Shawn Roberts,Diary of the Dead ,2000000,5.7
Andrew Fleming,Ryan Reynolds,Will Ferrell,Dick ,13000000,6.1
Warren Beatty,Charlie Korsmo,Warren Beatty,Dick Tracy ,100000000,6.1
Sam Weisman,Kevin Grevioux,Jenna Boyd,Dickie Roberts: Former Child Star ,17000000,5.6
Marc Lawrence,Michael Kelly,Kim Shaw,Did You Hear About the Morgans? ,58000000,4.7
Lee Tamahori,Toby Stephens,Colin Salmon,Die Another Day ,142000000,6.1
John McTiernan,Alan Rickman,Bruce Willis,Die Hard ,28000000,8.2
Renny Harlin,Bruce Willis,John Amos,Die Hard 2,70000000,7.1
John McTiernan,Bruce Willis,Aldis Hodge,Die Hard with a Vengeance ,90000000,7.6
Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Digimon: The Movie ,5000000,5.9
Romesh Sharma,Annabelle Wallis,Revathy,Dil Jo Bhi Kahey... ,70000000,5.1
Barry Levinson,Steve Guttenberg,Daniel Stern,Diner ,5000000,7.2
Jay Roach,Steve Carell,Stephanie Szostak,Dinner for Schmucks ,,5.9
Bob Giraldi,Danny Aiello,Manny Perez,Dinner Rush ,,7.3
Eric Leighton,Alfre Woodard,D.B. Sweeney,Dinosaur ,127500000,6.5
Dan Mazer,Robert De Niro,Zoey Deutch,Dirty Grandpa ,11500000,6
Stephen Frears,Sophie Okonedo,Benedict Wong,Dirty Pretty Things ,10000000,7.4
Bob Saget,Don Rickles,Jack Warden,Dirty Work ,13000000,6.4
Jason Friedberg,Carmen Electra,Tony Cox,Disaster Movie ,25000000,1.9
Barry Levinson,Demi Moore,Dylan Baker,Disclosure ,55000000,6
Neill Blomkamp,Sharlto Copley,Jed Brophy,District 9,30000000,8
Pierre Morel,David Belle,Cyril Raffaelli,District B13,12000000,7.2
D.J. Caruso,Sarah Roemer,Aaron Yoo,Disturbia ,20000000,6.9
D.J. Caruso,Sarah Roemer,Aaron Yoo,Disturbia ,20000000,6.9
David Nutter,Bruce Greenwood,Ethan Embry,Disturbing Behavior ,15000000,5.5
Neil Burger,Kate Winslet,Theo James,Divergent ,85000000,6.7
Callie Khouri,Ellen Burstyn,Fionnula Flanagan,Divine Secrets of the Ya-Ya Sisterhood ,27000000,6
Quentin Tarantino,Leonardo DiCaprio,Christoph Waltz,Django Unchained ,100000000,8.5
Spike Lee,Ruby Dee,John Savage,Do the Right Thing ,6500000,7.9
Jon Gunn,Alexa PenaVega,Delroy Lindo,Do You Believe? ,2300000,5.9
Corey Yuen,Steve Howey,Holly Valance,DOA: Dead or Alive ,21000000,4.8
David DeCoteau,William McNamara,Tom Berenger,Doc Holliday's Revenge ,1000000,3.8
Betty Thomas,Oliver Platt,Raven-Symoné,Doctor Dolittle ,71500000,5.3
David Lean,Julie Christie,Klaus Kinski,Doctor Zhivago ,11000000,8
Rawson Marshall Thurber,Gary Cole,Stephen Root,Dodgeball: A True Underdog Story ,20000000,6.7
Rawson Marshall Thurber,Gary Cole,Stephen Root,Dodgeball: A True Underdog Story ,20000000,6.7
Kevin Smith,Matt Damon,Janeane Garofalo,Dogma ,10000000,7.4
Yorgos Lanthimos,Angeliki Papoulia,Mary Tsoni,Dogtooth ,,7.3
Stacy Peralta,Tony Alva,Jay Adams,Dogtown and Z-Boys ,,7.7
Charles Martin Smith,Morgan Freeman,Michael Roark,Dolphin Tale ,37000000,6.9
Charles Martin Smith,Morgan Freeman,Taylor Blackwell,Dolphin Tale 2,36000000,6.4
Jean-Jacques Mantello,Charlotte Rampling,Daryl Hannah,Dolphins and Whales 3D: Tribes of the Ocean,6000000,6.5
Richard Shepard,Richard E. Grant,Mark Wingett,Dom Hemingway ,,6.2
Harold Becker,Steve Buscemi,Teri Polo,Domestic Disturbance ,53000000,5.5
Tony Scott,Ian Ziering,Mo'Nique,Domino ,50000000,6
Joseph Gordon-Levitt,Joseph Gordon-Levitt,Scarlett Johansson,Don Jon ,3000000,6.6
Jeremy Leven,Johnny Depp,Marlon Brando,Don Juan DeMarco ,25000000,6.8
Jake Goldberger,Pruitt Taylor Vince,M. Emmet Walsh,Don McKay ,,5.9
Troy Nixey,Bailee Madison,Alan Dale,Don't Be Afraid of the Dark ,25000000,5.6
Gary Fleder,Oliver Platt,Jennifer Esposito,Don't Say a Word ,50000000,6.3
Oliver Blackburn,Julian Morris,Nichola Burley,Donkey Punch ,900000,5.2
Mike Newell,Johnny Depp,Al Pacino,Donnie Brasco ,35000000,7.8
Richard Kelly,Jake Gyllenhaal,Mary McDonnell,Donnie Darko ,4500000,8.1
John Ford,Lee Marvin,Cesar Romero,Donovan's Reef ,2686585,6.9
Dave Borthwick,Jimmy Fallon,Kylie Minogue,Doogal ,20000000,2.8
Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Doom ,60000000,5.2
Neil Marshall,Ryan Kruger,Jason Cope,Doomsday ,30000000,6
Rick Famuyiwa,Kimberly Elise,Rick Fox,Dope ,7000000,7.3
Sheldon Lettich,Bolo Yeung,Alonna Shaw,Double Impact ,15000000,5.5
Bruce Beresford,Bruce Greenwood,Annabeth Gish,Double Jeopardy ,70000000,6.4
George Gallo,Daniel Roebuck,Eddie Griffin,Double Take ,24000000,5.3
John Patrick Shanley,Philip Seymour Hoffman,Meryl Streep,Doubt ,20000000,7.5
Maurice Joyce,Frank Welker,Constance Shulman,Doug's 1st Movie,5000000,5
Kurt Voss,Lemmy,Coyote Shivers,Down and Out with the Dolls ,1200000,6.1
Alan Jacobs,Snoop Dogg,Laz Alonso,Down for Life ,,7.3
David Jacobson,Hunter Parrish,Bruce Dern,Down in the Valley ,8000000,6.5
Ben Wheatley,Michael Smiley,Tony Way,Down Terrace ,,6.5
Chris Weitz,Chazz Palminteri,Mark Addy,Down to Earth ,30000000,5.4
Kris Isacsson,Rosario Dawson,Lauren German,Down to You ,9000000,4.9
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Downfall ,13500000,8.3
Steve Carr,Raven-Symoné,Jeffrey Jones,Dr. Dolittle 2,72000000,4.6
Terence Young,Ursula Andress,Jack Lord,Dr. No ,1100000,7.3
Stanley Kubrick,George C. Scott,Slim Pickens,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,1800000,8.5
Patrick Lussier,Gerard Butler,Danny Masterson,Dracula 2000,28000000,4.9
Gary Shore,Dominic Cooper,Sarah Gadon,Dracula Untold ,70000000,6.3
Guy Maddin,Sarah Murphy-Dyson,CindyMarie Small,Dracula: Pages from a Virgin's Diary ,1600000,7
Ivan Reitman,Jennifer Garner,Chi McBride,Draft Day ,25000000,6.8
Sam Raimi,Bojana Novakovic,Alison Lohman,Drag Me to Hell ,30000000,6.6
Daniel Lee,Si Won Choi,Peng Lin,Dragon Blade ,65000000,6.1
Guillaume Ivernel,Rob Paulsen,Jess Harnell,Dragon Hunters ,11000000,6.6
Yuefeng Song,Blythe Auffarth,Bianca Collins,Dragon Nest: Warriors' Dawn ,40000000,6.4
Hyung-rae Shim,Robert Forster,Aimee Garcia,Dragon Wars: D-War ,35000000,3.6
James Wong,Ian Whyte,Texas Battle,Dragonball: Evolution ,45000000,2.7
Tom Shadyac,Joe Morton,Susanna Thompson,Dragonfly ,60000000,6.1
Rob Cohen,Dennis Quaid,Brian Thompson,DragonHeart ,57000000,6.4
Matthew Robbins,Ian McDiarmid,Ralph Richardson,Dragonslayer ,18000000,6.7
Jim Sheridan,Naomi Watts,Gregory Smith,Dream House ,55000000,6
Finn Taylor,David Arquette,Cathy Moriarty,Dream with the Fishes ,1000000,7
Lawrence Kasdan,Morgan Freeman,Michael O'Neill,Dreamcatcher ,68000000,5.5
John Gatins,Ken Howard,Freddy Rodríguez,Dreamer: Inspired by a True Story ,32000000,6.9
Bill Condon,Loretta Devine,Jennifer Hudson,Dreamgirls ,70000000,6.5
Eric Styles,Samantha Morton,Rupert Graves,Dreaming of Joseph Lees ,2000000,6.4
Pete Travis,Wood Harris,Jason Cope,Dredd ,35000000,7.1
Pete Travis,Wood Harris,Jason Cope,Dredd ,35000000,7.1
Brian De Palma,Angie Dickinson,David Margulies,Dressed to Kill ,6500000,7.1
Steven Brill,Lisa Ann Walter,Shaun Weiss,Drillbit Taylor ,40000000,5.7
Joe Swanberg,Olivia Wilde,Anna Kendrick,Drinking Buddies ,,6.1
Nicolas Winding Refn,Ryan Gosling,Albert Brooks,Drive ,15000000,7.8
Patrick Lussier,Nicolas Cage,Billy Burke,Drive Angry ,50000000,5.5
Brian Trenchard-Smith,Zoe Ventoura,Damien Garvey,Drive Hard ,12000000,4.3
